Nome evento;Ente che eroga l'evento;Periodo da;Periodo a;Classi ;Numero studenti;Keyword;Extra
Diventiamo agenti Anti-rumours;Fondazione Mondinsieme;44287;44317;3;45;fake news;https://www.comune.re.it/retecivica/urp/retecivi.nsf/PESDocume ntID/2E7C59AEE174343AC12585C70027B138?opendocument&FROM =Sclscndrd1grd
Educazione multiculturale;Granello di Senapa;44075;44105;4;35;multiculturale, migrazioni;https://www.comune.re.it/retecivica/urp/retecivi.nsf/PESDocume ntID/8C3DFF707C87935BC12585C7005337F6?opendocument&FROM= Sclscndrd1grd
